,HomePlanet,CryoSleep,Destination,Age,VIP,Side,Deck,Y
0,2.0,0,1.0,39.0,0,1,2,0
1,1.0,0,1.0,24.0,0,2,6,1
2,2.0,0,1.0,58.0,1,2,1,0
3,2.0,0,1.0,33.0,0,2,1,0
4,1.0,0,1.0,16.0,0,2,6,1
5,1.0,0,2.0,44.0,0,1,6,1
6,1.0,0,1.0,26.0,0,2,6,1
7,1.0,1,1.0,28.0,0,2,7,1
8,1.0,0,1.0,35.0,0,2,6,1
9,2.0,1,3.0,14.0,0,1,2,1
10,2.0,1,1.0,34.0,0,1,2,1
11,2.0,0,3.0,45.0,0,1,2,1
12,3.0,0,1.0,32.0,0,1,6,1
13,1.0,0,1.0,48.0,0,2,7,0
14,1.0,0,1.0,28.0,0,1,6,1
16,3.0,0,3.0,27.0,0,1,6,0
17,1.0,0,3.0,24.0,0,1,6,0
18,3.0,1,1.0,45.0,0,1,6,1
19,1.0,0,1.0,0.0,0,1,7,1
20,1.0,0,3.0,14.0,0,1,6,0
21,1.0,1,1.0,1.0,0,2,5,0
22,1.0,1,3.0,49.0,0,2,5,0
23,1.0,1,3.0,29.0,0,2,5,0
24,1.0,0,1.0,10.0,0,2,5,1
25,1.0,1,2.0,1.0,0,2,5,0
26,1.0,0,1.0,7.0,0,2,5,0
27,3.0,0,1.0,21.0,0,1,4,0
28,2.0,1,1.0,62.0,0,2,3,1
29,1.0,0,1.0,15.0,0,2,6,0
30,2.0,0,3.0,34.0,0,1,3,0
31,3.0,0,1.0,43.0,0,1,6,0
32,1.0,0,1.0,32.0,0,2,7,0
33,3.0,0,1.0,47.0,0,1,6,1
34,3.0,0,1.0,2.0,0,1,6,1
35,3.0,0,1.0,20.0,0,1,6,1
36,2.0,1,3.0,28.0,0,2,4,1
37,3.0,0,3.0,23.0,0,1,4,0
38,1.0,0,3.0,15.0,0,2,6,0
39,1.0,0,3.0,20.0,0,2,6,0
40,1.0,1,3.0,30.0,0,1,7,0
41,1.0,1,1.0,17.0,0,1,7,1
42,2.0,0,1.0,45.0,0,1,2,0
43,1.0,1,1.0,55.0,0,1,7,0
44,1.0,1,3.0,4.0,0,1,7,1
45,1.0,1,2.0,21.0,0,1,7,1
46,3.0,0,1.0,21.0,0,1,6,0
47,3.0,1,,19.0,0,1,6,1
48,1.0,0,3.0,35.0,0,2,5,0
49,1.0,0,1.0,56.0,0,2,5,0
50,1.0,0,1.0,,0,2,7,0
51,1.0,0,1.0,25.0,0,2,6,1
52,2.0,0,1.0,2.0,0,2,1,1
53,2.0,1,1.0,38.0,0,2,1,1
54,2.0,0,1.0,27.0,0,2,1,1
55,1.0,1,2.0,36.0,0,2,7,0
56,1.0,0,1.0,22.0,0,2,6,0
57,1.0,0,1.0,62.0,0,2,6,0
58,3.0,1,1.0,15.0,0,2,6,1
59,,1,1.0,33.0,0,2,5,1
60,1.0,0,1.0,62.0,0,1,7,0
61,1.0,1,2.0,0.0,0,2,7,1
62,1.0,0,1.0,18.0,0,2,7,1
63,1.0,0,3.0,21.0,0,2,6,0
64,3.0,0,1.0,,0,2,5,0
65,1.0,0,1.0,42.0,0,2,6,1
66,1.0,0,1.0,19.0,0,1,6,0
67,1.0,0,1.0,17.0,0,1,6,0
68,1.0,0,1.0,14.0,0,2,6,0
69,3.0,0,2.0,37.0,0,1,4,0
70,2.0,0,1.0,42.0,0,2,3,1
71,3.0,0,1.0,27.0,0,2,6,1
72,3.0,0,1.0,28.0,0,1,6,1
73,2.0,0,1.0,38.0,0,2,3,0
74,1.0,1,1.0,13.0,0,2,7,0
75,3.0,0,1.0,42.0,0,1,6,0
76,3.0,1,1.0,2.0,0,1,6,1
77,3.0,0,1.0,8.0,0,1,6,1
78,1.0,0,1.0,24.0,0,2,7,1
79,2.0,1,1.0,40.0,0,2,3,1
80,1.0,0,1.0,43.0,0,1,6,0
81,3.0,1,2.0,45.0,0,2,5,1
82,1.0,1,1.0,35.0,0,2,7,1
83,1.0,1,1.0,26.0,0,2,7,1
84,1.0,0,1.0,27.0,0,2,6,0
85,1.0,0,1.0,19.0,0,1,7,0
86,1.0,1,1.0,0.0,0,1,7,1
87,1.0,1,1.0,3.0,0,1,7,1
88,2.0,0,1.0,54.0,0,2,1,0
89,1.0,0,1.0,26.0,0,1,7,0
90,1.0,0,1.0,26.0,0,1,7,1
91,1.0,0,2.0,23.0,0,1,6,0
92,1.0,0,1.0,2.0,0,1,7,1
94,1.0,0,1.0,18.0,0,2,6,0
95,1.0,0,1.0,24.0,0,2,6,1
96,1.0,1,3.0,9.0,0,2,7,1
97,1.0,1,1.0,6.0,0,2,7,0
98,1.0,0,1.0,27.0,0,1,6,0
99,3.0,0,1.0,21.0,0,2,4,0
100,1.0,1,1.0,23.0,0,2,7,0
101,1.0,0,1.0,31.0,0,2,7,0
102,1.0,0,1.0,0.0,0,2,7,1
104,2.0,0,1.0,40.0,0,1,2,0
105,2.0,0,1.0,42.0,0,1,2,1
106,2.0,1,1.0,28.0,0,1,2,1
107,2.0,1,1.0,29.0,0,2,5,1
108,2.0,0,3.0,48.0,1,2,2,1
109,1.0,0,1.0,64.0,0,1,6,1
110,1.0,0,1.0,27.0,0,2,7,0
111,3.0,0,1.0,26.0,0,1,6,1
112,2.0,0,1.0,33.0,0,1,4,1
113,,0,1.0,39.0,0,1,1,0
114,2.0,1,1.0,13.0,0,1,1,1
115,3.0,1,1.0,24.0,0,1,6,1
116,1.0,0,1.0,29.0,0,2,7,0
117,1.0,0,1.0,18.0,0,1,6,0
118,3.0,1,1.0,67.0,0,2,6,1
119,3.0,0,1.0,35.0,0,2,5,0
120,3.0,0,1.0,61.0,1,2,4,0
121,3.0,0,1.0,45.0,0,2,5,0
122,1.0,1,2.0,22.0,0,2,7,1
123,3.0,1,1.0,19.0,0,2,6,1
124,3.0,0,1.0,36.0,0,2,4,0
125,1.0,0,1.0,19.0,0,1,7,1
126,1.0,0,2.0,47.0,0,2,7,0
127,1.0,1,1.0,13.0,0,1,7,1
128,1.0,0,,34.0,0,1,5,0
129,2.0,1,3.0,35.0,0,2,3,1
130,1.0,1,1.0,24.0,0,1,7,1
131,1.0,0,1.0,26.0,0,1,6,0
132,3.0,0,1.0,31.0,0,1,6,0
133,1.0,0,1.0,20.0,0,2,6,1
134,1.0,0,1.0,56.0,0,2,7,0
135,1.0,1,1.0,50.0,0,2,7,1
136,3.0,0,1.0,42.0,0,1,6,0
137,1.0,1,3.0,,0,2,7,1
138,1.0,1,3.0,38.0,0,1,7,0
139,1.0,0,,41.0,0,1,6,0
140,1.0,0,1.0,22.0,0,1,7,0
141,2.0,1,1.0,26.0,0,1,2,1
142,2.0,1,1.0,17.0,0,1,2,1
143,1.0,0,1.0,57.0,0,2,7,1
144,1.0,1,2.0,17.0,0,2,7,0
145,3.0,1,1.0,35.0,0,1,6,1
146,3.0,1,1.0,13.0,0,2,6,1
147,3.0,0,1.0,27.0,0,2,6,0
148,1.0,1,1.0,31.0,0,1,7,0
149,1.0,0,1.0,24.0,0,2,5,0
150,1.0,1,2.0,19.0,0,2,7,1
151,1.0,1,1.0,32.0,0,1,7,1
152,1.0,0,1.0,58.0,0,2,5,1
153,1.0,0,3.0,21.0,0,1,6,0
154,2.0,0,1.0,38.0,0,2,2,0
