,HomePlanet,CryoSleep,Destination,Age,VIP,Side,Deck
0,1.0,1,1.0,27.0,0,2,7
1,1.0,0,1.0,19.0,0,2,6
2,2.0,1,3.0,31.0,0,2,3
3,2.0,0,1.0,38.0,0,2,3
4,1.0,0,1.0,20.0,0,2,6
5,1.0,0,1.0,31.0,0,1,6
6,2.0,1,3.0,21.0,0,1,2
7,2.0,1,1.0,20.0,0,2,4
8,2.0,1,3.0,23.0,0,2,4
9,1.0,0,3.0,24.0,0,2,6
10,1.0,0,1.0,19.0,0,2,6
11,2.0,0,1.0,45.0,0,1,4
12,2.0,0,1.0,44.0,0,1,4
13,3.0,1,1.0,46.0,0,1,5
14,1.0,0,1.0,21.0,0,1,7
15,1.0,0,1.0,27.0,0,1,6
16,1.0,0,1.0,20.0,0,1,6
17,2.0,1,1.0,44.0,0,2,2
19,2.0,0,1.0,40.0,0,2,2
20,1.0,0,1.0,30.0,0,2,7
21,1.0,0,1.0,14.0,0,1,5
22,2.0,1,3.0,31.0,0,1,2
23,2.0,0,3.0,27.0,0,1,2
24,2.0,0,3.0,66.0,0,1,2
25,1.0,0,1.0,24.0,0,1,7
26,2.0,0,3.0,19.0,0,1,3
27,1.0,1,1.0,36.0,0,1,5
28,1.0,0,1.0,21.0,0,1,6
29,1.0,1,3.0,18.0,0,2,7
30,1.0,1,1.0,26.0,0,2,7
31,1.0,0,1.0,19.0,0,2,7
32,1.0,1,1.0,48.0,0,2,7
33,1.0,0,1.0,23.0,0,1,7
34,1.0,0,1.0,24.0,0,1,7
35,1.0,0,1.0,19.0,0,1,5
36,3.0,1,1.0,24.0,0,2,6
37,1.0,0,1.0,27.0,0,1,7
38,1.0,1,1.0,6.0,0,2,7
39,1.0,0,1.0,33.0,0,2,6
40,1.0,0,2.0,23.0,0,1,6
41,1.0,0,2.0,30.0,0,2,6
42,1.0,0,1.0,26.0,0,1,7
43,1.0,0,1.0,1.0,0,1,7
44,1.0,0,1.0,20.0,0,2,6
45,1.0,1,1.0,17.0,0,2,6
46,1.0,0,1.0,34.0,0,1,6
47,1.0,0,2.0,24.0,0,1,5
48,1.0,0,1.0,29.0,0,1,7
49,1.0,0,1.0,20.0,0,1,6
50,1.0,1,3.0,5.0,0,1,7
51,2.0,1,3.0,22.0,0,1,2
52,2.0,0,1.0,16.0,0,1,2
53,1.0,1,3.0,7.0,0,1,7
54,1.0,0,3.0,36.0,0,2,6
55,3.0,0,3.0,26.0,0,2,4
56,1.0,0,1.0,40.0,0,1,6
57,1.0,1,1.0,29.0,0,2,7
58,3.0,1,1.0,2.0,0,2,6
59,3.0,0,1.0,23.0,0,2,6
60,3.0,0,1.0,0.0,0,2,6
61,2.0,0,3.0,30.0,0,1,3
62,1.0,0,1.0,56.0,0,1,5
63,2.0,1,1.0,36.0,0,1,2
64,2.0,1,1.0,56.0,0,1,2
65,1.0,0,1.0,19.0,0,2,6
